match_id,game_date,game_duration_min,champion,position,win,kills,deaths,assists,kda,cs,cs_per_min,gold,gold_per_min,damage,damage_per_min,vision_score,double_kills,triple_kills,quadra_kills,penta_kills,game_mode
KR_8102370900,2026-02-22 12:51:32.934,1.25,Jax,TOP,0,0,0,0,0.0,0,0.0,524,419.2,0,0.0,0,0,0,0,0,CLASSIC
KR_8102264726,2026-02-22 12:10:50.774,36.03,Jax,TOP,1,10,8,5,1.88,244,6.77,19450,539.78,45269,1256.31,10,1,0,0,0,CLASSIC
KR_8101848746,2026-02-22 08:51:31.277,36.5,Jax,TOP,0,8,4,4,3.0,293,8.03,17742,486.08,40698,1115.01,23,0,0,0,0,CLASSIC
KR_8101789252,2026-02-22 08:19:20.135,25.08,Gragas,TOP,0,5,5,4,1.8,172,6.86,9174,365.74,18298,729.49,13,0,0,0,0,CLASSIC
KR_8101713057,2026-02-22 07:37:58.439,34.08,Jax,TOP,1,8,10,1,0.9,244,7.16,15974,468.67,23281,683.06,25,0,0,0,0,CLASSIC
KR_8101389041,2026-02-22 04:40:13.907,24.98,Jax,TOP,1,9,5,1,2.0,159,6.36,11983,479.64,28664,1147.32,5,1,0,0,0,CLASSIC
KR_8101338454,2026-02-22 04:05:59.894,29.02,Jax,TOP,1,5,8,0,0.62,209,7.2,12138,418.31,18140,625.16,14,0,0,0,0,CLASSIC
KR_8100915743,2026-02-21 17:17:52.658,48.03,Malphite,TOP,0,20,12,7,2.25,278,5.79,25348,527.72,60842,1266.66,48,0,0,0,0,CLASSIC
KR_8100852405,2026-02-21 16:39:22.675,32.22,Swain,TOP,1,0,4,14,3.5,252,7.82,13617,422.67,34597,1073.89,29,0,0,0,0,CLASSIC
KR_8100777323,2026-02-21 16:01:33.552,32.48,Talon,MIDDLE,0,8,9,3,1.22,259,7.97,13790,424.53,27603,849.76,19,0,0,0,0,CLASSIC
KR_8100691649,2026-02-21 15:27:56.441,29.03,Talon,MIDDLE,1,7,7,9,2.29,195,6.72,12417,427.68,24295,836.8,18,1,0,0,0,CLASSIC
KR_8100620042,2026-02-21 14:56:53.936,25.93,Talon,MIDDLE,0,2,8,8,1.25,171,6.59,9718,374.73,19828,764.58,20,0,0,0,0,CLASSIC
KR_8100531430,2026-02-21 14:27:02.484,24.47,Jax,TOP,0,3,4,2,1.25,189,7.72,9654,394.58,17766,726.13,21,0,0,0,0,CLASSIC
KR_8100411194,2026-02-21 13:43:30.788,39.37,Jax,TOP,1,5,9,9,1.56,258,6.55,16172,410.8,34889,886.26,23,0,0,0,0,CLASSIC
KR_8100296997,2026-02-21 13:04:39.583,33.08,Varus,TOP,0,12,9,7,2.11,240,7.25,13772,416.28,48572,1468.17,19,1,0,0,0,CLASSIC
KR_8094781858,2026-02-18 11:47:59.925,32.08,Jax,TOP,1,9,11,6,1.36,235,7.32,17111,533.33,41407,1290.61,24,2,0,0,0,CLASSIC
KR_8093206653,2026-02-17 15:33:17.629,29.1,Jax,TOP,0,10,4,3,3.25,269,9.24,15803,543.06,34050,1170.1,23,0,0,0,0,CLASSIC
KR_8093122366,2026-02-17 14:57:42.902,31.25,Volibear,TOP,1,6,6,5,1.83,189,6.05,12330,394.56,25073,802.34,11,0,0,0,0,CLASSIC
KR_8093013668,2026-02-17 14:20:56.366,32.35,Teemo,TOP,1,10,4,6,4.0,302,9.34,18629,575.86,35747,1105.01,26,1,0,0,0,CLASSIC
KR_8091425351,2026-02-16 17:04:06.451,18.73,Azir,MIDDLE,0,2,5,2,0.8,94,5.02,6204,331.17,8795,469.48,6,0,0,0,0,CLASSIC
KR_8091369962,2026-02-16 16:33:39.365,24.68,Gnar,TOP,0,3,2,1,2.0,212,8.59,10472,424.25,16230,657.53,17,0,0,0,0,CLASSIC
KR_8091325741,2026-02-16 16:07:27.142,19.92,Jax,TOP,0,1,2,3,2.0,113,5.67,6772,340.02,5452,273.74,8,0,0,0,0,CLASSIC
KR_8091252482,2026-02-16 15:30:56.414,31.42,Briar,TOP,0,5,10,2,0.7,189,6.02,11876,378.02,17324,551.43,14,0,0,0,0,CLASSIC
KR_8091161502,2026-02-16 14:54:14.589,27.15,Kennen,TOP,0,3,4,1,1.0,209,7.7,9980,367.59,21240,782.32,17,0,0,0,0,CLASSIC
KR_8091063662,2026-02-16 14:18:06.078,30.92,Quinn,TOP,0,7,10,8,1.5,213,6.89,13793,446.13,30835,997.36,20,0,0,0,0,CLASSIC
KR_8090961851,2026-02-16 13:40:49.559,32.7,Singed,TOP,1,11,7,16,3.86,290,8.87,17864,546.3,53725,1642.97,19,1,0,0,0,CLASSIC
KR_8090875316,2026-02-16 13:04:01.322,30.78,Zed,TOP,1,5,7,5,1.43,230,7.47,14444,469.21,30496,990.67,25,0,0,0,0,CLASSIC
KR_8090775518,2026-02-16 12:27:05.576,32.53,Jax,TOP,1,6,10,10,1.6,167,5.13,14130,434.32,29142,895.76,16,0,0,0,0,CLASSIC
KR_8090589566,2026-02-16 11:02:30.499,34.98,Jax,TOP,1,3,11,5,0.73,212,6.06,12121,346.48,26228,749.73,20,0,0,0,0,CLASSIC
KR_8090101078,2026-02-16 06:35:46.093,26.52,Jax,TOP,0,5,5,2,1.4,216,8.15,12198,460.01,30097,1135.02,10,0,0,0,0,CLASSIC
KR_8090028582,2026-02-16 05:56:04.975,23.47,Jax,TOP,1,7,2,3,5.0,217,9.25,13815,588.71,17428,742.67,11,0,0,0,0,CLASSIC
KR_8089763213,2026-02-16 02:03:49.996,15.77,Jax,TOP,1,3,4,3,1.5,119,7.55,7551,478.92,10192,646.43,8,0,0,0,0,CLASSIC
KR_8089234774,2026-02-15 15:33:49.729,30.68,Jax,TOP,0,5,9,3,0.89,185,6.03,12706,414.1,24572,800.83,16,1,0,0,0,CLASSIC
